fecha,casos
26/02/2020,0
27/02/2020,2
28/02/2020,0
29/02/2020,0
01/03/2020,0
02/03/2020,0
03/03/2020,1
04/03/2020,3
05/03/2020,5
06/03/2020,1
07/03/2020,2
08/03/2020,3
09/03/2020,2
10/03/2020,3
11/03/2020,16
12/03/2020,23
13/03/2020,26
14/03/2020,23
15/03/2020,10
16/03/2020,28
17/03/2020,35
18/03/2020,31
19/03/2020,64
20/03/2020,36
21/03/2020,22
22/03/2020,16
23/03/2020,46
24/03/2020,62
25/03/2020,46
26/03/2020,71
27/03/2020,63
28/03/2020,62
29/03/2020,39
30/03/2020,82
31/03/2020,58
01/04/2020,70
02/04/2020,85
03/04/2020,99
04/04/2020,64
05/04/2020,59
06/04/2020,141
07/04/2020,144
08/04/2020,140
09/04/2020,150
10/04/2020,174
11/04/2020,127
12/04/2020,125
13/04/2020,293
14/04/2020,267
15/04/2020,256
16/04/2020,269
17/04/2020,354
18/04/2020,213
19/04/2020,215
20/04/2020,506
21/04/2020,485
22/04/2020,466
23/04/2020,418
24/04/2020,571
25/04/2020,312
26/04/2020,283
27/04/2020,550
28/04/2020,619
29/04/2020,655
30/04/2020,609
01/05/2020,408
02/05/2020,381
03/05/2020,350
04/05/2020,792
05/05/2020,648
06/05/2020,741
07/05/2020,782
08/05/2020,855
09/05/2020,451
10/05/2020,419
11/05/2020,879
12/05/2020,881
13/05/2020,925
14/05/2020,851
15/05/2020,1012
16/05/2020,640
17/05/2020,416
18/05/2020,1134
19/05/2020,1079
20/05/2020,1095
21/05/2020,1017
22/05/2020,971
23/05/2020,524
24/05/2020,399
25/05/2020,1092
26/05/2020,954
27/05/2020,1021
28/05/2020,864
29/05/2020,980
30/05/2020,571
31/05/2020,448
01/06/2020,1118
02/06/2020,948
03/06/2020,1016
04/06/2020,951
05/06/2020,985
06/06/2020,558
07/06/2020,413
08/06/2020,1057
09/06/2020,1017
10/06/2020,974
11/06/2020,900
12/06/2020,936
13/06/2020,427
14/06/2020,360
15/06/2020,945
16/06/2020,1008
17/06/2020,975
18/06/2020,956
19/06/2020,899
20/06/2020,469
21/06/2020,298
22/06/2020,904
23/06/2020,901
24/06/2020,837
25/06/2020,855
26/06/2020,939
27/06/2020,384
28/06/2020,343
29/06/2020,983
30/06/2020,942
01/07/2020,1028
02/07/2020,888
03/07/2020,953
04/07/2020,395
05/07/2020,253
06/07/2020,1009
07/07/2020,964
08/07/2020,963
09/07/2020,760
10/07/2020,885
11/07/2020,425
12/07/2020,272
13/07/2020,1083
14/07/2020,938
15/07/2020,1234
16/07/2020,1150
17/07/2020,1196
18/07/2020,673
19/07/2020,277
20/07/2020,1167
21/07/2020,1174
22/07/2020,1218
23/07/2020,1128
24/07/2020,1081
25/07/2020,568
26/07/2020,272
27/07/2020,1074
28/07/2020,1084
29/07/2020,1097
30/07/2020,1067
31/07/2020,951
01/08/2020,554
02/08/2020,274
03/08/2020,880
04/08/2020,1045
05/08/2020,1033
06/08/2020,928
07/08/2020,1006
08/08/2020,481
09/08/2020,203
10/08/2020,905
11/08/2020,1049
12/08/2020,1042
13/08/2020,1019
14/08/2020,1051
15/08/2020,485
16/08/2020,198
17/08/2020,1020
18/08/2020,1201
19/08/2020,1145
20/08/2020,985
21/08/2020,1099
22/08/2020,520
23/08/2020,291
24/08/2020,1104
25/08/2020,1096
26/08/2020,1465
27/08/2020,1280
28/08/2020,1307
29/08/2020,748
30/08/2020,265
31/08/2020,1074
01/09/2020,1456
02/09/2020,1501
03/09/2020,1382
04/09/2020,1260
05/09/2020,674
06/09/2020,265
07/09/2020,1009
08/09/2020,1397
09/09/2020,1342
10/09/2020,1240
11/09/2020,1215
12/09/2020,750
13/09/2020,243
14/09/2020,1006
15/09/2020,799
16/09/2020,239
17/09/2020,1309
18/09/2020,1180
19/09/2020,666
20/09/2020,273
21/09/2020,1000
22/09/2020,1272
23/09/2020,1234
24/09/2020,1186
25/09/2020,1171
26/09/2020,766
27/09/2020,318
28/09/2020,1147
29/09/2020,1243
30/09/2020,1231
01/10/2020,1192
02/10/2020,1069
03/10/2020,560
04/10/2020,241
05/10/2020,1047
06/10/2020,1233
07/10/2020,1247
08/10/2020,1202
09/10/2020,1210
10/10/2020,557
11/10/2020,311
12/10/2020,1257
13/10/2020,1382
14/10/2020,1230
15/10/2020,1350
16/10/2020,1528
17/10/2020,680
18/10/2020,338
19/10/2020,1876
20/10/2020,1993
21/10/2020,1753
22/10/2020,1784
23/10/2020,1894
24/10/2020,789
25/10/2020,330
26/10/2020,1990
27/10/2020,1928
28/10/2020,1953
29/10/2020,1708
30/10/2020,1545
31/10/2020,703
01/11/2020,313
02/11/2020,673
03/11/2020,2171
04/11/2020,2006
05/11/2020,1966
06/11/2020,1775
07/11/2020,832
08/11/2020,358
09/11/2020,2420
10/11/2020,2343
11/11/2020,2144
12/11/2020,2033
13/11/2020,2033
14/11/2020,935
15/11/2020,442
16/11/2020,459
17/11/2020,2521
18/11/2020,2174
19/11/2020,2004
20/11/2020,2158
21/11/2020,1245
22/11/2020,472
23/11/2020,2878
24/11/2020,2998
25/11/2020,2768
26/11/2020,2849
27/11/2020,3117
28/11/2020,1669
29/11/2020,608
30/11/2020,3781
01/12/2020,4083
02/12/2020,4402
03/12/2020,4460
04/12/2020,4654
05/12/2020,2812
06/12/2020,787
07/12/2020,5355
08/12/2020,5094
09/12/2020,5081
10/12/2020,5314
11/12/2020,5173
12/12/2020,2925
13/12/2020,715
14/12/2020,5455
15/12/2020,5492
16/12/2020,5220
17/12/2020,5200
18/12/2020,5631
19/12/2020,2982
20/12/2020,823
21/12/2020,5581
22/12/2020,5426
23/12/2020,5243
24/12/2020,4534
25/12/2020,615
26/12/2020,1970
27/12/2020,1053
28/12/2020,6136
29/12/2020,6219
30/12/2020,5657
31/12/2020,4926
01/01/2021,715
02/01/2021,1897
03/01/2021,1145
04/01/2021,6835
05/01/2021,6754
06/01/2021,6679
07/01/2021,6818
08/01/2021,6738
09/01/2021,3943
10/01/2021,1353
11/01/2021,7464
12/01/2021,6933
13/01/2021,6878
14/01/2021,6636
15/01/2021,6337
16/01/2021,3748
17/01/2021,1145
18/01/2021,6656
19/01/2021,6468
20/01/2021,5774
21/01/2021,5567
22/01/2021,5592
23/01/2021,3111
24/01/2021,1090
25/01/2021,5867
26/01/2021,5888
27/01/2021,5078
28/01/2021,4679
29/01/2021,4291
30/01/2021,2410
31/01/2021,805
01/02/2021,1162
02/02/2021,4520
03/02/2021,3950
04/02/2021,3685
05/02/2021,3549
06/02/2021,1936
07/02/2021,548
08/02/2021,4000
09/02/2021,3125
10/02/2021,3000
11/02/2021,2683
12/02/2021,2955
13/02/2021,1730
14/02/2021,518
15/02/2021,2995
16/02/2021,2831
17/02/2021,2504
18/02/2021,2438
19/02/2021,2444
20/02/2021,1375
21/02/2021,495
22/02/2021,3099
23/02/2021,2761
24/02/2021,2461
25/02/2021,2438
26/02/2021,2573
27/02/2021,1540
28/02/2021,541
01/03/2021,3016
02/03/2021,2647
03/03/2021,2503
04/03/2021,2353
05/03/2021,2232
06/03/2021,1278
07/03/2021,506
08/03/2021,2483
09/03/2021,2126
10/03/2021,1786
11/03/2021,1887
12/03/2021,1914
13/03/2021,1055
14/03/2021,458
15/03/2021,553
16/03/2021,2407
17/03/2021,1965
18/03/2021,1848
19/03/2021,1626
20/03/2021,963
21/03/2021,362
22/03/2021,1991
23/03/2021,1851
24/03/2021,1552
25/03/2021,1539
26/03/2021,1404
27/03/2021,921
28/03/2021,341
29/03/2021,1671
30/03/2021,1565
31/03/2021,1425
01/04/2021,602
02/04/2021,458
03/04/2021,341
04/04/2021,295
05/04/2021,1641
06/04/2021,1430
07/04/2021,1385
08/04/2021,1281
09/04/2021,1302
10/04/2021,829
11/04/2021,242
12/04/2021,1455
13/04/2021,1299
14/04/2021,1191
15/04/2021,1205
16/04/2021,1008
17/04/2021,613
18/04/2021,224
19/04/2021,1209
20/04/2021,1089
21/04/2021,1092
22/04/2021,912
23/04/2021,876
24/04/2021,576
25/04/2021,184
26/04/2021,1015
27/04/2021,981
28/04/2021,895
29/04/2021,801
30/04/2021,758
01/05/2021,227
02/05/2021,191
03/05/2021,812
04/05/2021,626
05/05/2021,682
06/05/2021,606
07/05/2021,623
08/05/2021,384
09/05/2021,91
10/05/2021,362
11/05/2021,693
12/05/2021,620
13/05/2021,511
14/05/2021,613
15/05/2021,309
16/05/2021,117
17/05/2021,615
18/05/2021,613
19/05/2021,532
20/05/2021,562
21/05/2021,594
22/05/2021,301
23/05/2021,120
24/05/2021,638
25/05/2021,673
26/05/2021,665
27/05/2021,552
28/05/2021,645
29/05/2021,285
30/05/2021,114
31/05/2021,639
01/06/2021,678
02/06/2021,687
03/06/2021,610
04/06/2021,637
05/06/2021,316
06/06/2021,110
07/06/2021,843
08/06/2021,894
09/06/2021,896
10/06/2021,794
11/06/2021,798
12/06/2021,452
13/06/2021,150
14/06/2021,959
15/06/2021,965
16/06/2021,1007
17/06/2021,1061
18/06/2021,1093
19/06/2021,617
20/06/2021,218
21/06/2021,1339
22/06/2021,1498
23/06/2021,1536
24/06/2021,1621
25/06/2021,1542
26/06/2021,1000
27/06/2021,404
28/06/2021,1996
29/06/2021,1940
30/06/2021,1951
01/07/2021,2236
02/07/2021,2330
03/07/2021,1385
04/07/2021,548
05/07/2021,3059
06/07/2021,3186
07/07/2021,3526
08/07/2021,3559
09/07/2021,3470
10/07/2021,2105
11/07/2021,957
12/07/2021,4422
13/07/2021,4739
14/07/2021,4685
15/07/2021,4178
16/07/2021,4290
17/07/2021,2509
18/07/2021,1039
19/07/2021,5342
20/07/2021,5485
21/07/2021,5151
22/07/2021,5480
23/07/2021,4754
24/07/2021,2901
25/07/2021,1371
26/07/2021,5943
27/07/2021,5557
28/07/2021,5281
29/07/2021,5742
30/07/2021,4966
31/07/2021,2950
01/08/2021,1392
02/08/2021,5616
03/08/2021,5477
04/08/2021,5027
05/08/2021,5112
06/08/2021,4726
07/08/2021,2927
08/08/2021,1400
09/08/2021,5308
10/08/2021,5397
11/08/2021,5096
12/08/2021,4672
13/08/2021,4494
14/08/2021,2218
15/08/2021,1019
16/08/2021,4488
17/08/2021,4161
18/08/2021,4019
19/08/2021,3744
20/08/2021,3536
21/08/2021,1571
22/08/2021,832
23/08/2021,3577
24/08/2021,3595
25/08/2021,3194
26/08/2021,3100
27/08/2021,3182
28/08/2021,1687
29/08/2021,735
30/08/2021,3129
31/08/2021,2575
01/09/2021,2484
02/09/2021,2475
03/09/2021,2489
04/09/2021,1392
05/09/2021,681
06/09/2021,2591
07/09/2021,2094
08/09/2021,1813
09/09/2021,2053
10/09/2021,2044
11/09/2021,1104
12/09/2021,534
13/09/2021,2088
14/09/2021,1976
15/09/2021,1563
16/09/2021,323
17/09/2021,2009
18/09/2021,1053
19/09/2021,417
20/09/2021,2129
21/09/2021,1781
22/09/2021,1815
23/09/2021,1504
24/09/2021,1754
25/09/2021,967
26/09/2021,415
27/09/2021,1605
28/09/2021,1187
29/09/2021,1096
30/09/2021,928
01/10/2021,1076
02/10/2021,558
03/10/2021,291
04/10/2021,1134
05/10/2021,977
06/10/2021,938
07/10/2021,834
08/10/2021,804
09/10/2021,394
10/10/2021,262
11/10/2021,907
12/10/2021,775
13/10/2021,676
14/10/2021,658
15/10/2021,787
16/10/2021,307
17/10/2021,142
18/10/2021,801
19/10/2021,680
20/10/2021,589
21/10/2021,559
22/10/2021,639
23/10/2021,324
24/10/2021,124
25/10/2021,651
26/10/2021,580
27/10/2021,484
28/10/2021,487
29/10/2021,594
30/10/2021,184
31/10/2021,91
01/11/2021,423
02/11/2021,194
03/11/2021,595
04/11/2021,567
05/11/2021,501
06/11/2021,318
07/11/2021,109
08/11/2021,529
09/11/2021,456
10/11/2021,500
11/11/2021,545
12/11/2021,489
13/11/2021,228
14/11/2021,121
15/11/2021,151
16/11/2021,492
17/11/2021,517
18/11/2021,473
19/11/2021,506
20/11/2021,244
21/11/2021,146
22/11/2021,509
23/11/2021,399
24/11/2021,366
25/11/2021,532
26/11/2021,361
27/11/2021,213
28/11/2021,111
29/11/2021,462
30/11/2021,378
01/12/2021,338
02/12/2021,481
03/12/2021,350
04/12/2021,147
05/12/2021,134
06/12/2021,399
07/12/2021,378
08/12/2021,296
09/12/2021,269
10/12/2021,428
11/12/2021,141
12/12/2021,113
13/12/2021,359
14/12/2021,379
15/12/2021,426
16/12/2021,435
17/12/2021,429
18/12/2021,246
19/12/2021,192
20/12/2021,666
21/12/2021,729
22/12/2021,990
23/12/2021,1063
24/12/2021,892
25/12/2021,200
26/12/2021,504
27/12/2021,2126
28/12/2021,2729
29/12/2021,3201
30/12/2021,3602
31/12/2021,2849
01/01/2022,976
02/01/2022,1630
03/01/2022,6197
04/01/2022,8834
05/01/2022,10962
06/01/2022,10965
07/01/2022,11712
08/01/2022,6049
09/01/2022,5233
10/01/2022,15738
11/01/2022,16805
12/01/2022,17807
13/01/2022,16693
14/01/2022,16920
15/01/2022,8165
16/01/2022,5624
17/01/2022,17001
18/01/2022,16180
19/01/2022,16924
20/01/2022,15515
21/01/2022,14490
22/01/2022,7069
23/01/2022,4346
24/01/2022,13446
25/01/2022,11016
26/01/2022,10651
27/01/2022,8900
28/01/2022,8229
29/01/2022,4049
30/01/2022,2563
31/01/2022,6873
01/02/2022,5980
02/02/2022,5387
03/02/2022,5196
04/02/2022,4709
05/02/2022,2216
06/02/2022,1466
07/02/2022,1616
08/02/2022,4191
09/02/2022,3077
10/02/2022,2795
11/02/2022,2726
12/02/2022,1170
13/02/2022,778
14/02/2022,2409
15/02/2022,2059
16/02/2022,2138
17/02/2022,2093
18/02/2022,1932
19/02/2022,919
20/02/2022,670
